TRANSACTION_DATE,TOTAL_TRANSACTION_VALUE
2017-03-11 00:00:00.000,15916274.6343486
2017-03-12 00:00:00.000,24131469.1555749
2017-03-13 00:00:00.000,18838967.8278353
2017-03-14 00:00:00.000,7877687.5238245
2017-03-15 00:00:00.000,7858458.75878556
2017-03-16 00:00:00.000,31583517.7511913
2017-03-17 00:00:00.000,16091772.0036055
2017-03-18 00:00:00.000,23550226.5421964
2017-03-19 00:00:00.000,5215392.62346184
2017-03-20 00:00:00.000,6595693.78200028
2017-03-21 00:00:00.000,13135341.3690932
2017-03-22 00:00:00.000,11414057.6759584
2017-03-23 00:00:00.000,11598818.8420687
2017-03-24 00:00:00.000,15941119.2307772
2017-03-25 00:00:00.000,12107067.8923766
2017-03-26 00:00:00.000,9610422.41048095
2017-03-27 00:00:00.000,11032024.5184168
2017-03-28 00:00:00.000,11010677.9488766
2017-03-29 00:00:00.000,13273361.9639662
2017-03-30 00:00:00.000,17260909.5451286
2017-03-31 00:00:00.000,14676301.3970868
2017-04-01 00:00:00.000,9648415.32461134
2017-04-02 00:00:00.000,15169840.7909687
2017-04-03 00:00:00.000,17011783.9234852
2017-04-04 00:00:00.000,8434075.28218576
2017-04-05 00:00:00.000,12184027.3033576
2017-04-06 00:00:00.000,17281268.0404649
2017-04-07 00:00:00.000,5141120.30196893
2017-04-08 00:00:00.000,6764770.30787993
2017-04-09 00:00:00.000,6785997.24308546
2017-04-10 00:00:00.000,8607305.45047574
